question,answer,type,entities,timestamp
Water requirements for citrus in Pakistan?,"🌾 COMPLETE GUIDE: CITRUS IN PAKISTAN

📅 Season: winter
🌱 Soil: well-drained loamy, sandy loam
🌡️ Temperature: 13-35°C
💧 Water: moderate, 800-1200mm annually
📍 Regions: Punjab (Sahiwal, Sargodha), Sindh

🎯 Varieties: Kinnow, Fasl-a, Blood Red, Succari
💊 Fertilizer: NPK 200:100:100, urea
🐛 Pests: citrus psylla, fruit fly
🦠 Diseases: citrus canker, huanglongbing (HLB)
📈 Yield: 80-150 maunds, 4000-7500 kg

⏱️ Duration: perennial, 3-4 years to bearing
🌾 Harvest: November 15 - March 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['citrus'],2026-02-12T17:23:09.528871
How long does carrot take to grow?,"🌾 COMPLETE GUIDE: CARROT IN PAKISTAN

📅 Season: rabi
🌱 Soil: sandy loam, loamy sand
🌡️ Temperature: 16-20°C
💧 Water: moderate, 350-450mm
📍 Regions: Punjab, KPK

🎯 Varieties: T-29, Nantes, Red Core, Chantenay
💊 Fertilizer: NPK 60:40:40, urea
🐛 Pests: aphids, carrot fly
🦠 Diseases: leaf blight, alternaria leaf spot
📈 Yield: 80-150 maunds, 4000-7500 kg

⏱️ Duration: 90-110 days
🌾 Harvest: December 15 - March 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['carrot'],2026-02-12T17:23:09.530874
Crops suitable for alluvial soil in Pakistan,"🌍 ALLUVIAL SOIL PROFILE

📊 Properties:
• Texture: variable
• Drainage: good
• Nutrients: high
• Water Holding: variable
• pH: 6.0-8.0

🌱 Suitable Crops:
• rice, wheat, sugarcane, cotton

⚠️ Challenges:
• flooding risk, erosion

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['alluvial'],2026-02-12T17:23:09.538876
How to prepare compost for agricultural use?,"🔨 LAND PREPARATION FOR SORGHUM

Best Soil: well-drained loamy, sandy loam

Steps:
1. Clear residues (1 week before)
2. Deep plough 15-20cm
3. Second plough after 7-10 days
4. Harrow for fine tilth
5. Level properly
6. Add basal fertilizer
7. Make irrigation channels",practical,[],2026-02-12T17:23:09.557405
onion vs sugarcane: which is more profitable?,"🌾 COMPARISON: ONION vs SUGARCANE

┌──────────────┬────────────────────┬────────────────────┐
│ Attribute    │ Onion              │ Sugarcane          │
├──────────────┼────────────────────┼────────────────────┤
│ Season       │ rabi               │ spring             │
│ Duration     │ 100-150 days       │ 10-16 months       │
│ Soil         │ sandy loam         │ deep fertile loamy │
│ Water        │ moderate           │ high               │
│ Yield/Acre   │ 100-180 maunds     │ 600-800 maunds     │
└──────────────┴────────────────────┴────────────────────┘

Onion: Punjab, Sindh
Sugarcane: Punjab, Sindh",comparison_crop,"['sugarcane', 'onion']",2026-02-12T17:23:09.538876
pH range and management of red soil,"🌍 RED SOIL PROFILE

📊 Properties:
• Texture: sandy loam to loamy
• Drainage: good
• Nutrients: low in organic matter
• Water Holding: moderate
• pH: 5.5-6.5

🌱 Suitable Crops:
• groundnut, rice (upland), millets, pigeon pea

⚠️ Challenges:
• low fertility, erosion prone on slopes

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['red'],2026-02-12T17:23:09.526355
Tell me about sandy loam soil characteristics,"🌍 SANDY LOAM SOIL PROFILE

📊 Properties:
• Texture: medium coarse
• Drainage: good to excellent
• Nutrients: low to moderate
• Water Holding: moderate
• pH: 6.0-7.5

🌱 Suitable Crops:
• maize, cotton, tomato, onion

⚠️ Challenges:
• nutrient leaching, requires more fertilizer

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,"['sandy', 'sandy loam']",2026-02-12T17:23:09.531872
How to prepare land for wheat cultivation?,"🔨 LAND PREPARATION FOR WHEAT

Best Soil: loamy, clay loam, alluvial, well-drained

Steps:
1. Clear residues (1 week before)
2. Deep plough 15-20cm
3. Second plough after 7-10 days
4. Harrow for fine tilth
5. Level properly
6. Add basal fertilizer
7. Make irrigation channels",practical,['wheat'],2026-02-12T17:23:09.535877
How to prepare land for banana cultivation?,"🔨 LAND PREPARATION FOR BANANA

Best Soil: deep loamy, alluvial, well-drained

Steps:
1. Clear residues (1 week before)
2. Deep plough 15-20cm
3. Second plough after 7-10 days
4. Harrow for fine tilth
5. Level properly
6. Add basal fertilizer
7. Make irrigation channels",practical,['banana'],2026-02-12T17:23:09.525358
How to cultivate citrus successfully?,"🌾 COMPLETE GUIDE: CITRUS IN PAKISTAN

📅 Season: winter
🌱 Soil: well-drained loamy, sandy loam
🌡️ Temperature: 13-35°C
💧 Water: moderate, 800-1200mm annually
📍 Regions: Punjab (Sahiwal, Sargodha), Sindh

🎯 Varieties: Kinnow, Fasl-a, Blood Red, Succari
💊 Fertilizer: NPK 200:100:100, urea
🐛 Pests: citrus psylla, fruit fly
🦠 Diseases: citrus canker, huanglongbing (HLB)
📈 Yield: 80-150 maunds, 4000-7500 kg

⏱️ Duration: perennial, 3-4 years to bearing
🌾 Harvest: November 15 - March 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['citrus'],2026-02-12T17:23:09.558403
How do I grow brinjal in Pakistan?,"🌾 COMPLETE GUIDE: BRINJAL IN PAKISTAN

📅 Season: kharif
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 22-30°C
💧 Water: moderate, 400-600mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Black Beauty, Purple Long, Faisalabad Long, NAB-502
💊 Fertilizer: NPK 100:60:60, urea
🐛 Pests: shoot borer, whitefly
🦠 Diseases: bacterial wilt, phomopsis blight
📈 Yield: 120-200 maunds, 6000-10000 kg

⏱️ Duration: 100-120 days
🌾 Harvest: September 30 - November 30

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['brinjal'],2026-02-12T17:23:09.542876
Best time to plant okra in Pakistan?,"🌾 COMPLETE GUIDE: OKRA IN PAKISTAN

📅 Season: kharif
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 25-35°C
💧 Water: moderate, 400-500mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Sabz Pari, Green Star, Punjab-8, NAB-504
💊 Fertilizer: NPK 80:40:40, urea
🐛 Pests: jassids, whitefly
🦠 Diseases: yellow vein mosaic virus, powdery mildew
📈 Yield: 40-70 maunds, 2000-3500 kg

⏱️ Duration: 50-60 days
🌾 Harvest: August 15 - October 15

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['okra'],2026-02-12T17:23:09.526355
How to prepare land for cotton cultivation?,"🔨 LAND PREPARATION FOR COTTON

Best Soil: well-drained loamy, black soil, alluvial

Steps:
1. Clear residues (1 week before)
2. Deep plough 15-20cm
3. Second plough after 7-10 days
4. Harrow for fine tilth
5. Level properly
6. Add basal fertilizer
7. Make irrigation channels",practical,['cotton'],2026-02-12T17:23:09.535877
Properties of red soil for agriculture,"🌍 RED SOIL PROFILE

📊 Properties:
• Texture: sandy loam to loamy
• Drainage: good
• Nutrients: low in organic matter
• Water Holding: moderate
• pH: 5.5-6.5

🌱 Suitable Crops:
• groundnut, rice (upland), millets, pigeon pea

⚠️ Challenges:
• low fertility, erosion prone on slopes

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['red'],2026-02-12T17:23:09.523362
Which is better: millet or okra?,"🌾 COMPARISON: MILLET vs OKRA

┌──────────────┬────────────────────┬────────────────────┐
│ Attribute    │ Millet             │ Okra               │
├──────────────┼────────────────────┼────────────────────┤
│ Season       │ kharif             │ kharif             │
│ Duration     │ 65-90 days         │ 50-60 days         │
│ Soil         │ sandy loam         │ loamy              │
│ Water        │ low                │ moderate           │
│ Yield/Acre   │ 15-30 maunds       │ 40-70 maunds       │
└──────────────┴────────────────────┴────────────────────┘

Millet: Punjab, Sindh
Okra: Punjab, Sindh",comparison_crop,"['okra', 'millet']",2026-02-12T17:23:09.558403
Compare wheat and cauliflower water requirements,"🌾 COMPARISON: WHEAT vs CAULIFLOWER

┌──────────────┬────────────────────┬────────────────────┐
│ Attribute    │ Wheat              │ Cauliflower        │
├──────────────┼────────────────────┼────────────────────┤
│ Season       │ rabi               │ rabi               │
│ Duration     │ 110-130 days       │ 90-120 days        │
│ Soil         │ loamy              │ loamy              │
│ Water        │ moderate           │ moderate           │
│ Yield/Acre   │ 25-35 maunds       │ 120-200 maunds     │
└──────────────┴────────────────────┴────────────────────┘

Wheat: Punjab, Sindh
Cauliflower: Punjab, KPK",comparison_crop,"['wheat', 'cauliflower']",2026-02-12T17:23:09.545876
