id,crop,category,intent,question,answer,region,soil,timestamp,crop1,crop2
wheat_Cultivation_0,wheat,cereal,Cultivation,How to grow wheat in Pakistan?,"🌾 **Wheat CULTIVATION GUIDE - PAKISTAN** 🌾

**Season:** Rabi (Oct-Dec)
**Sowing Time:** October to December
**Harvest Time:** March to May
**Duration:** 110-130 days

**Soil Requirements:** Loamy, clay loam, pH 6.0-7.5
**Temperature:** 20-25°C
**Water:** 4-5 irrigations

**Recommended Varieties:** Sehar-2006, Galaxy-2013, Faisalabad-2008, Inqalab-91, Aas-2011
**Fertilizer:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre
**Expected Yield:** 30-40 maunds/acre
**Major Regions:** Punjab, Sindh, KPK, Balochistan

For successful cultivation, ensure proper seed selection, timely operations, balanced nutrition, and integrated pest management.",KPK,,2026-02-12T19:42:49.027972,,
wheat_Cultivation_1,wheat,cereal,Cultivation,Complete cultivation guide for wheat,"🌾 **Wheat CULTIVATION GUIDE - PAKISTAN** 🌾

**Season:** Rabi (Oct-Dec)
**Sowing Time:** October to December
**Harvest Time:** March to May
**Duration:** 110-130 days

**Soil Requirements:** Loamy, clay loam, pH 6.0-7.5
**Temperature:** 20-25°C
**Water:** 4-5 irrigations

**Recommended Varieties:** Sehar-2006, Galaxy-2013, Faisalabad-2008, Inqalab-91, Aas-2011
**Fertilizer:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre
**Expected Yield:** 30-40 maunds/acre
**Major Regions:** Punjab, Sindh, KPK, Balochistan

For successful cultivation, ensure proper seed selection, timely operations, balanced nutrition, and integrated pest management.",Sindh,,2026-02-12T19:42:49.027972,,
wheat_Cultivation_2,wheat,cereal,Cultivation,How to cultivate wheat?,"🌾 **Wheat CULTIVATION GUIDE - PAKISTAN** 🌾

**Season:** Rabi (Oct-Dec)
**Sowing Time:** October to December
**Harvest Time:** March to May
**Duration:** 110-130 days

**Soil Requirements:** Loamy, clay loam, pH 6.0-7.5
**Temperature:** 20-25°C
**Water:** 4-5 irrigations

**Recommended Varieties:** Sehar-2006, Galaxy-2013, Faisalabad-2008, Inqalab-91, Aas-2011
**Fertilizer:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre
**Expected Yield:** 30-40 maunds/acre
**Major Regions:** Punjab, Sindh, KPK, Balochistan

For successful cultivation, ensure proper seed selection, timely operations, balanced nutrition, and integrated pest management.",Punjab,,2026-02-12T19:42:49.027972,,
wheat_Cultivation_3,wheat,cereal,Cultivation,Tell me about wheat farming,"🌾 **Wheat CULTIVATION GUIDE - PAKISTAN** 🌾

**Season:** Rabi (Oct-Dec)
**Sowing Time:** October to December
**Harvest Time:** March to May
**Duration:** 110-130 days

**Soil Requirements:** Loamy, clay loam, pH 6.0-7.5
**Temperature:** 20-25°C
**Water:** 4-5 irrigations

**Recommended Varieties:** Sehar-2006, Galaxy-2013, Faisalabad-2008, Inqalab-91, Aas-2011
**Fertilizer:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre
**Expected Yield:** 30-40 maunds/acre
**Major Regions:** Punjab, Sindh, KPK, Balochistan

For successful cultivation, ensure proper seed selection, timely operations, balanced nutrition, and integrated pest management.",Sindh,,2026-02-12T19:42:49.027972,,
wheat_Cultivation_4,wheat,cereal,Cultivation,Step by step process for growing wheat,"🌾 **Wheat CULTIVATION GUIDE - PAKISTAN** 🌾

**Season:** Rabi (Oct-Dec)
**Sowing Time:** October to December
**Harvest Time:** March to May
**Duration:** 110-130 days

**Soil Requirements:** Loamy, clay loam, pH 6.0-7.5
**Temperature:** 20-25°C
**Water:** 4-5 irrigations

**Recommended Varieties:** Sehar-2006, Galaxy-2013, Faisalabad-2008, Inqalab-91, Aas-2011
**Fertilizer:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre
**Expected Yield:** 30-40 maunds/acre
**Major Regions:** Punjab, Sindh, KPK, Balochistan

For successful cultivation, ensure proper seed selection, timely operations, balanced nutrition, and integrated pest management.",Punjab,,2026-02-12T19:42:49.027972,,
wheat_SowingTime_5,wheat,cereal,SowingTime,When to sow wheat?,"📅 **Wheat SOWING TIME IN PAKISTAN** 📅

**Season:** Rabi (Oct-Dec)
**Sowing Window:** October to December
**Optimum Time:** October to December

**Temperature Requirement:** 20-25°C

**Regional Variations:**
• Punjab: Within the recommended window
• Sindh: Slightly earlier/later depending on variety
• KPK: Follow local advisory

**Tip:** Timely sowing can increase yield by 20-30%. Avoid delay beyond the recommended window.",Punjab,,2026-02-12T19:42:49.028972,,
wheat_SowingTime_6,wheat,cereal,SowingTime,Best time for planting wheat,"📅 **Wheat SOWING TIME IN PAKISTAN** 📅

**Season:** Rabi (Oct-Dec)
**Sowing Window:** October to December
**Optimum Time:** October to December

**Temperature Requirement:** 20-25°C

**Regional Variations:**
• Punjab: Within the recommended window
• Sindh: Slightly earlier/later depending on variety
• KPK: Follow local advisory

**Tip:** Timely sowing can increase yield by 20-30%. Avoid delay beyond the recommended window.",Punjab,,2026-02-12T19:42:49.028972,,
wheat_SowingTime_7,wheat,cereal,SowingTime,wheat sowing season in Punjab,"📅 **Wheat SOWING TIME IN PAKISTAN** 📅

**Season:** Rabi (Oct-Dec)
**Sowing Window:** October to December
**Optimum Time:** October to December

**Temperature Requirement:** 20-25°C

**Regional Variations:**
• Punjab: Within the recommended window
• Sindh: Slightly earlier/later depending on variety
• KPK: Follow local advisory

**Tip:** Timely sowing can increase yield by 20-30%. Avoid delay beyond the recommended window.",Punjab,,2026-02-12T19:42:49.028972,,
wheat_SowingTime_8,wheat,cereal,SowingTime,When should I plant wheat?,"📅 **Wheat SOWING TIME IN PAKISTAN** 📅

**Season:** Rabi (Oct-Dec)
**Sowing Window:** October to December
**Optimum Time:** October to December

**Temperature Requirement:** 20-25°C

**Regional Variations:**
• Punjab: Within the recommended window
• Sindh: Slightly earlier/later depending on variety
• KPK: Follow local advisory

**Tip:** Timely sowing can increase yield by 20-30%. Avoid delay beyond the recommended window.",Punjab,,2026-02-12T19:42:49.028972,,
wheat_SowingTime_9,wheat,cereal,SowingTime,Optimum sowing time for wheat,"📅 **Wheat SOWING TIME IN PAKISTAN** 📅

**Season:** Rabi (Oct-Dec)
**Sowing Window:** October to December
**Optimum Time:** October to December

**Temperature Requirement:** 20-25°C

**Regional Variations:**
• Punjab: Within the recommended window
• Sindh: Slightly earlier/later depending on variety
• KPK: Follow local advisory

**Tip:** Timely sowing can increase yield by 20-30%. Avoid delay beyond the recommended window.",Sindh,,2026-02-12T19:42:49.028972,,
