question,answer,type,entities,timestamp,error
Compare clay and sandy soils,"📊 COMPARISON: Clay vs Sandy Soil

Clay Soil:
• Texture: fine
• Drainage: poor
• Water holding: excellent
• Nutrients: high
• Suitable crops: rice, wheat, soybean

Sandy Soil:
• Texture: coarse
• Drainage: excellent
• Water holding: poor
• Nutrients: low
• Suitable crops: groundnut, watermelon, carrot

🎯 RECOMMENDATION:
• Choose clay for: specific crops
• Choose sandy for: different needs
• Most versatile: Depends on crop requirements",comparison_soil,"['clay', 'sandy']",2026-02-11T09:48:23.976656,
What are the requirements for chili cultivation?,"🌱 Chili COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 90-120 days

🌱 SOIL REQUIREMENTS:
• Best soil: sandy loam
• Ideal pH: 6.0-7.0

🌡️ CLIMATIC CONDITIONS:
• Temperature: 20-30°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Punjab, Sindh

🎯 RECOMMENDED VARIETIES:
• Longi, Mirch-444

💊 FERTILIZER RECOMMENDATION:
• NPK 120:60:60
• Additional: 

🐛 PEST MANAGEMENT:
• Common pests: thrips, mites
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: anthracnose, leaf curl
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_general,['chili'],2026-02-11T09:48:23.987666,
How much fertilizer for okra (ladyfinger)?,"Fertilizer amount for okra (ladyfinger):
• Basic recommendation: NPK 80:40:40
• Apply in 3 splits: Basal, vegetative, reproductive stages
• Soil test based: Adjust based on soil test results
• Organic option: 10-15 tons farmyard manure per acre
• Micronutrients: Zinc, boron based on deficiency symptoms",practical,['okra (ladyfinger)'],2026-02-11T09:48:23.990666,
What is black soil good for?,"🌍 Black SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: clayey
• Drainage: poor when wet
• Nutrient content: high in calcium/magnesium
• Water holding capacity: good
• pH range: 7.0-8.5

🌱 SUITABLE CROPS:
• cotton, sugarcane, wheat, sorghum, citrus

⚠️ COMMON PROBLEMS:
• cracks when dry, hard to work when wet, alkaline nature

🔧 IMPROVEMENT METHODS:
1. add organic matter
2. contour bunding
3. subsoiling
4. gypsum

💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['black'],2026-02-11T09:48:23.989666,
How to improve clay soil?,"🌍 Clay SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: fine
• Drainage: poor
• Nutrient content: high
• Water holding capacity: excellent
• pH range: 5.5-7.5

🌱 SUITABLE CROPS:
• rice, wheat, soybean, cabbage, spinach

⚠️ COMMON PROBLEMS:
• compaction, poor aeration, slow drainage

🔧 IMPROVEMENT METHODS:
1. add sand
2. gypsum application
3. deep ploughing
4. add lime

💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['clay'],2026-02-11T09:48:23.979663,
Water holding capacity: black vs clay,"📊 COMPARISON: Black vs Clay Soil

Black Soil:
• Texture: clayey
• Drainage: poor when wet
• Water holding: good
• Nutrients: high in calcium/magnesium
• Suitable crops: cotton, sugarcane, wheat

Clay Soil:
• Texture: fine
• Drainage: poor
• Water holding: excellent
• Nutrients: high
• Suitable crops: rice, wheat, soybean

🎯 RECOMMENDATION:
• Choose black for: specific crops
• Choose clay for: water retention
• Most versatile: Depends on crop requirements",comparison_soil,"['black', 'clay']",2026-02-11T09:48:23.989666,
Problems with sandy soil,"🌍 Sandy SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: coarse
• Drainage: excellent
• Nutrient content: low
• Water holding capacity: poor
• pH range: 6.0-8.0

🌱 SUITABLE CROPS:
• groundnut, watermelon, carrot, potato, sunflower

⚠️ COMMON PROBLEMS:
• nutrient leaching, dries quickly, low fertility

🔧 IMPROVEMENT METHODS:
1. add organic matter
2. use mulch
3. frequent irrigation
4. green manure

💧 WATER MANAGEMENT:
• Irrigation frequency: High (dries quickly)
• Best irrigation: Drip/sprinkler

🌾 FERTILIZER STRATEGY:
• Frequent light applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['sandy'],2026-02-11T09:48:23.981676,
Water requirements for bottle gourd?,"🌱 Bottle Gourd COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 60-75 days

🌱 SOIL REQUIREMENTS:
• Best soil: loamy
• Ideal pH: 6.0-7.5

🌡️ CLIMATIC CONDITIONS:
• Temperature: 22-30°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Punjab, Sindh

🎯 RECOMMENDED VARIETIES:
• Anmol

💊 FERTILIZER RECOMMENDATION:
• NPK 80:40:40
• Additional: 

🐛 PEST MANAGEMENT:
• Common pests: fruit fly
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: powdery mildew
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_specific,['bottle gourd'],2026-02-11T09:48:23.988667,
How much fertilizer for onion?,"Fertilizer amount for onion:
• Basic recommendation: NPK 100:50:50
• Apply in 3 splits: Basal, vegetative, reproductive stages
• Soil test based: Adjust based on soil test results
• Organic option: 10-15 tons farmyard manure per acre
• Micronutrients: Zinc, boron based on deficiency symptoms",practical,['onion'],2026-02-11T09:48:23.983667,
Should I grow pumpkin or wheat?,"🌾 COMPARISON: Pumpkin vs Wheat

Pumpkin:
• Season: kharif
• Soil: sandy loam
• Water: moderate
• Duration: 90-120 days
• Main regions: Punjab, Sindh

Wheat:
• Season: rabi
• Soil: loamy
• Water: moderate
• Duration: 110-130 days
• Main regions: Punjab, Sindh

📈 KEY DIFFERENCES:
• Water requirement: Similar
• Season: Different
• Duration: Longer

💡 CHOICE DEPENDS ON:
• Your soil type
• Water availability
• Market demand
• Season in your region",comparison_crop,"['pumpkin', 'wheat']",2026-02-11T09:48:23.990666,
